"","day","temp","dewp","wdsp","nrm"
"214",1,82.5,64.6,12.6,0.807594936708861
"215",2,77.8,59,9.5,0.572151898734177
"216",3,75,53.2,6.1,0.653164556962025
"217",4,75.6,56.5,5.1,0.681012658227848
"218",5,76.2,60,7.9,0.774683544303797
"219",6,76.4,57.5,7.5,0.850632911392405
"220",7,78.1,62,6.5,0.875949367088608
"221",1,74.6,65.5,4.3,0.612658227848101
"222",2,77.8,67.6,4.8,0.772151898734177
"223",3,75,62.1,6.9,0.729113924050633
"224",4,72.7,57.4,4.4,0.650632911392405
"225",5,75.6,59.9,7.8,0.711392405063291
"226",6,79.4,65.9,8.3,0.772151898734177
"227",7,78,67.2,6.2,0.812658227848101
"228",1,80.7,68.1,7.1,0.916455696202532
"229",2,81.2,67.3,6.9,0.60253164556962
"230",3,75.8,66.7,7.1,0.655696202531646
"231",4,73.9,62.6,12.2,0.731645569620253
"232",5,67.2,52,14,0.848101265822785
"233",6,71.7,53.3,7.4,0.89873417721519
"234",7,75.3,55.5,7.8,0.865822784810127
"235",1,74.1,58.9,9.9,0.767088607594937
"236",2,67.4,48.8,11.4,0.559493670886076
"237",3,65.4,47.6,8.6,0.668354430379747
"238",4,64.2,52,5.3,0.731645569620253
"239",5,65.5,52.8,3.8,0.660759493670886
"240",6,68.8,57.3,4.9,0.767088607594937
"241",7,70.8,62.3,5.6,0.650632911392405
"242",1,71,63.9,4.3,0.751898734177215
"243",2,74.8,65.4,2.3,0.612658227848101
"245",4,82.2,69,7.6,0.754430379746835
"246",5,83.9,67.6,7.5,0.941772151898734
"247",6,76.9,66.9,6.1,0.789873417721519
"248",7,76.9,66.5,6.2,0.663291139240506
"249",1,82.8,65.7,6.9,0.79746835443038
"250",2,83.6,66.9,7.5,0.772151898734177
"251",3,80,69.1,8,0.541772151898734
"252",4,72.4,61.2,6.2,0.526582278481013
"253",5,66.6,56.2,4.5,0.392405063291139
"254",6,63.4,56,7.2,0.475949367088608
"255",7,59.2,46,10.5,0.559493670886076
"256",1,60.3,44,6.8,0.584810126582278
"257",2,67.4,47.9,9.3,0.726582278481013
"258",3,73.7,52,10.2,0.779746835443038
"259",4,73.5,51.3,8.6,0.665822784810127
"260",5,75,58,9.3,0.541772151898734
"261",6,74.2,66.4,8.8,0.729113924050633
"262",7,66.8,56.8,9.6,0.731645569620253
"263",1,62.4,48.6,3.2,0.779746835443038
"264",2,64.5,48.8,5.6,0.587341772151899
"265",3,67.8,50.7,4.8,0.691139240506329
"266",4,70.6,51,4.6,0.835443037974684
"267",5,69.7,55.7,6,0.539240506329114
"268",6,69.6,57.8,7.1,0.777215189873418
"269",7,69.2,57.5,7.6,0.731645569620253
"270",1,70.1,58.7,6.5,0.756962025316456
"271",2,72.4,62.9,5.2,0.632911392405063
"272",3,67.6,58.6,9.3,0.420253164556962
"273",4,59.2,44.2,15.2,0.443037974683544
"274",5,57.4,41.3,16.8,0.972151898734177
"275",6,56.6,40,19.1,0.749367088607595
"276",7,52.9,39.1,17.7,0.518987341772152
